phrase,sentiment_score
less of,2
wit and invention,3
It,2
want to like it,2
.,2
a film,2
's,2
it,2
to finish,2
of its 170-minute length,2
dull,0
This movie is a snow emergency .,2
"Apart from dazzling cinematography , we 've seen just about everything in Blue Crush in one form or the other .",2
the next,2
Big Fat Waste of Time,0
the,2
the streets,2
such,2
Romanek,2
is Rebecca Romijn-Stamos,2
disservice,1
the Americans,2
"This film seems thirsty for reflection , itself taking on adolescent qualities .",1
on,2
.,2
",",2
they,2
about celebrity,2
At all .,2
to be both repulsively sadistic and mundane .,1
On,2
their,2
.,2
of,2
ever becoming didactic,2
"Glenn Close , Regis Philbin and",2
Cold Turkey,1
most Westerners,2
runs with it,2
obvious or,2
93 minutes,2
the Cold War,2
"unlike the Americans , who have a passion for Musketeers",2
-RRB-,3
that,2
and,2
so,2
not,1
", it 's alarmingly current .",3
always,2
oddly,2
the filmmakers should be very careful about raising eyebrows,2
's fun lite .,3
Late,2
its clunky dialogue and lapses,1
potatoes,2
Kiarostami,2
with its fascist past,2
teasing chilly poetry out,2
precise,3
no sense of humor,1
is laugh-out-loud ludicrous .,3
more satisfying than the teary-eyed original,3
In an effort,3
of shots of her gazing out windows,2
Rock,2
we just ca n't get no satisfaction,1
so lacking in originality that if you stripped away its inspirations there,1
",",2
two leads,2
Roberto Benigni 's Pinocchio is an astonishingly bad film .,0
looking for a thrilling sci-fi cinematic ride,3
thanks,3
Jason,2
be,2
which is a treasure in and of itself,3
will appeal to a mainstream American audience,3
own gore,2
who can deftly change moods,3
a,2
movie,2
preposterous -RRB-,2
of dead brilliant,3
` They ' begins and ends with scenes so terrifying I 'm still stunned .,2
Swimfan ' left me with a very bad feeling .,1
does,2
but,2
matched the spirit of a man and his work,3
boxing melodrama Undisputed,2
.,2
stylized,2
dialogue,2
the ravages,2
.,2
walk a fine line,2
a,2
"is the spontaneity , originality and delight .",4
A,2
year,2
and,2
both,2
following,2
old,2
Business,2
"forced and heavy-handed , and",2
just hilarious,4
",",2
all,2
King,2
plying into your subconscious like the nightmare you had a week ago that wo n't go away,3
of,2
get out of a peculiar premise with promise,2
Say,2
in the mood for a Bollywood film,2
", Queen is campy fun like the Vincent Price horror classics of the '60s .",3
its,2
is absorbing as well as thought-provoking,4
thrillers,2
's basically an overlong episode of Tales from the Crypt,1
", it offends by just being wishy-washy",0
abbreviated,2
incomplete,2
's essentially over by the meet-cute .,2
well-made,4
Kilmer,2
It has the ability to offend and put off everyone,1
one,2
in no particular place,2
is,2
you,2
a,2
and,2
easily accessible way,2
in,2
sympathize,2
"good at this kind of thing , unlike the Americans , who have a passion for Musketeers , only to spoof them",3
for,2
Dead,0
gentle,3
because it is dull,1
dangerously seductive,3
--,2
the year 's,2
of,2
"Audrey Tatou has a knack for picking roles that magnify her outrageous charm ,",4
too bad,1
the privileged position of eavesdropping,2
by,2
's,2
Friday-night excitement and Milla,2
the hypocrisy of political correctness,1
so,2
it,2
old,2
of,2
creativity,3
savvier spoofs to come along in some time,3
she,2
as if it might have been made in the '70s or '80s,1
"is forced and heavy-handed , and occasionally simply unpleasant .",1
is warmly affecting,3
referential,2
",",2
"kids who read , kids who dream --",2
directors,2
to pay for a shimmering picture postcard,2
underneath the skin like few movies,3
",",2
great,4
this clever idea,3
formula romantic comedy,2
to,2
sitcom,2
"Too slow , too long and too little happens .",1
both,2
"who live among us , but not necessarily with us",2
those,2
an Actress is an utterly charming French comedy that feels so American in sensibility and style,3
the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy,3
New,3
no currency,2
Frailty with its dark soul,2
the,2
generic,1
film that reminded me of the best of the Disney comedies from the 60s,3
"Dazzles with its fully-written characters , its determined stylishness -LRB- which always relates to characters and story -RRB- and Johnny Dankworth 's best soundtrack in years .",4
"of rootlessness , a state",2
up,2
that,2
",",2
this meaningless downer,0
into anything,2
What,2
who,2
magic,2
is almost exactly the same -LRB- as The Full Monty -RRB- .,1
This,2
appears,2
narrator,2
as an occasionally insightful acting exercise .,3
My thoughts were focused on the characters .,3
his skill,2
title,2
a,2
that,2
now,2
previous runner-up,2
the film,2
either,2
drained,2
-RRB-,3
quirky,2
that,2
probably,2
"unpleasant characters , hit-and-miss performances and awkwardly staged scenes",0
French,2
the,2
the,2
recent,2
makes the gang rumbles look like they 're being streamed,1
.,2
"is as respectful a film as Byatt fans could hope for , though lovers of the book may wonder why it 's necessary",3
of,2
of,2
for -LRB- Clara and Paul -RRB-,2
a continuing and deeply satisfying awareness of the best movies as monumental ` picture shows,3
carefully structured plot points,3
able to resolve some of the confusions you had while watching it,3
his,2
the emotional connections,2
.,2
",",2
gets,2
been,2
Why,2
just ca n't get no satisfaction,1
...,2
appealing,3
with,2
sex,3
's,2
Instead,2
"their famous dad , author of Death",2
see this film,3
suggests nothing less than a new voice that deserves to be considered as a possible successor to the best European directors,3
potential,3
light and,2
gasp-inducing,1
make,2
his,2
too,2
onto the screen,2
notch,2
hyped on TV,2
aside from its remarkable camerawork and awesome scenery,3
refreshing,3
by,2
in,2
the,2
"acting , costumes , music , cinematography and sound",2
keep,2
"The humor is n't as sharp , the effects not as innovative , nor the story as imaginative as in the original .",0
together,2
slasher,2
a Halloween,2
catch some quality naptime along the way,1
arc,2
the,2
of,2
charm,3
It,2
of,2
of gentle humor that chides the absurdity of its protagonist 's plight,2
film 's,2
Sven Wollter,2
blood ties,2
undertones,2
"Far more imaginative and ambitious than the trivial , cash-in features Nickelodeon",4
Broomfield,2
tightly organized efficiency,2
If you 're in the mood for a Bollywood film,2
much of the cast,2
an audience to focus on,2
"It does n't believe in itself , it has no sense of humor ... it 's just plain bored",0
but this fictional film,2
been,2
far,2
dogged Hollywood naturalism,2
still jingles in the pocket .,2
they are wincing back in repugnance,1
With,2
once again,2
.,2
from period detail,2
about them,2
does,2
completes,2
warmed-over James Bond adventure,1
than,2
since,2
the,2
not,1
Blues Brothers,2
!,2
and,2
next,2
which is probably for the best,2
prosaic,2
of,2
accumulates power and depth,3
plot holes,1
",",2
this challenging report,2
"More romantic ,",3
something strangely diverting,3
blown his entire budget on soundtrack rights,0
a stream of consciousness,2
Ecks vs. Sever '' or `` xXx '',2
a,2
rarity,3
fails,0
"quirkiness , eccentricity ,",3
Velocity,2
a,2
prurient or squeamish,1
that,2
"Open-minded kids -- kids who read , kids who dream --",3
hollow despair,1
fans,3
the one,2
a,2
Generally provides its target audience of youngsters enough stimulating eye and ear candy to make its moral medicine go down .,2
an,2
bothered to include the con .,2
showcases,1
that,2
But what are adults doing in the theater at all ?,1
damaged,1
perhaps put a little too much heart into his first film and did n't reserve enough for his second .,1
a,2
and,2
Too much,2
short,2
structured and exquisitely,4
you 've ever entertained the notion of doing what the title of this film implies,2
and,2
my,2
military epics,2
is a film that defies categorisation .,3
XXX mold,2
"beautiful , thought-provoking foreign cinema",4
bits of in other films,2
on the popularity of its stars,2
", it creeped me out just fine .",2
dumb characters,0
Gil and,2
Far From Heaven actually pulls off this stylistic juggling act .,3
about,2
unnerve the majority,2
minutes,2
fatal mistake,1
It 's inoffensive,3
on the grotesque,1
of,2
of,2
inspire the young people,3
The movie 's,2
genius,4
about being a different kind of time traveler,2
n't,2
left over,1
clunker,1
cheap,0
enough,2
"Denis O'Neill 's script avoids the prime sports cliche , a last-second goal to win the championship , but it neglects few others",2
took another thousand,2
Due to some script weaknesses and the casting of the director 's brother,1
revenge,2
Japanese director Hideo Nakata,2
sensitive,2
Belongs,2
singles,2
friends and lovers,2
the joy of Fuhrman 's destructive escapism,2
in on the popularity of its stars,2
out loud,2
humor,4
they,2
"'s a work of incendiary genius , steering clear of knee-jerk reactions and quick solutions .",4
"the project is sensational and revelatory , even if scratching makes you itch .",3
Rarely has so much money delivered so little entertainment .,1
When the film ended,2
"Bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .",3
you,2
belongs,2
the,2
's,2
are charming and,3
horror,1
exciting,4
The stripped-down approach,2
was poetically romantic and full,3
is,2
class,2
Good Housekeeping 's,2
its pubescent star,2
some,2
It all drags on so interminably it 's like watching a miserable relationship unfold in real time .,0
a sheet of fire-red flame,2
built,2
by,2
am,2
D.J.,2
with information and impressions,2
Not really bad so much as distasteful : We need kidnapping suspense dramas right now like we need doomsday thrillers .,1
The movie,2
caring,2
adds,2
still,2
De,2
.,2
makeup,2
"The actors are appealing , but Elysian Fields is idiotic and absurdly sentimental",1
but Costner,2
brimming with gentle humor,3
"takes some rather unexpected -LRB- even , at times , preposterous -RRB- turns",1
's,2
',2
collective action,2
the,2
even,2
The minor figures surrounding -LRB- Bobby -RRB- ... form a gritty urban mosaic .,3
and,2
its,2
unconventional,2
in disgust,0
a succession of cheesy coincidences and voluptuous cheap effects,0
's,2
instilling a wary sense,2
Samira Makhmalbaf 's new film Blackboards,2
should,2
",",2
's,2
picture,2
"A tender , witty , captivating film about friendship , love , memory , trust and loyalty .",4
with,2
's,2
in any viewer,2
witty,3
the,2
the,2
Vera 's technical prowess ends up selling his film short ; he smoothes over hard truths even as he uncovers them,1
the,2
spy thriller,2
delectable,4
Beneath Clouds establishes Sen as a filmmaker of considerable potential .,3
A film about a young man finding God that is accessible and touching to the marrow,3
expounded,2
artist,2
",",2
they,2
Roberto,2
of someone,2
look,2
seemingly,2
The,2
also contributed to the screenplay,2
"the previous runner-up ,",2
as,2
pressure-cooker,2
Weaver 's,2
consciously know you have done so,2
"'s an unpretentious , sociologically pointed slice of life",4
of,2
inspirational screenplay,3
"Forced ,",2
"Sit through this one , and you wo n't need a magic watch to stop time ;",1
n't,2
Nine,2
as,2
notion,2
done,2
but,2
"far less funny than the original , Killers From Space",1
a murderous event in 1873,2
's too self-important and plodding,1
Dazzles,4
are stretched to the point of evaporation,1
grandiloquent quartet lolling,2
copy,2
even as he uncovers them,2
.,2
sophisticated cinephile,2
got ice water in your veins,1
decorum,2
a,2
may appear naked in its narrative form,2
An absurdist comedy,3
Benigni,2
The structure the film takes,2
an,2
when it stays put in the past,2
tarted,2
turns out to be a cheap knockoff,1
exam,2
being,2
"are okay , not much fire in the script .",1
",",2
the British court 's extradition chess game and,2
As,2
morose and,2
peak,3
spy,2
suffer,2
",",2
Terri,2
it,2
the film,2
economical movie,2
"... Mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . '",3
one pine for the day,2
about,2
"Famous -LRB- but with bears , and a G rating -RRB-",2
to be an epic,3
"Displaying about equal amounts of naiveté , passion and talent , Beneath Clouds establishes Sen as a filmmaker of considerable potential .",3
earnest,2
from the predictable plot to the characters straight out of central casting,0
fights back at her abusers,2
wore out,2
The,2
pleasures,3
convict guilty,2
as their counterparts,2
others,2
preconceived vision,2
the children,2
engrossing and moving in its own right,4
"For each chuckle there are at least 10 complete misses , many coming from the amazingly lifelike Tara Reid , whose acting skills are comparable to a cardboard cutout .",1
Can This Marriage,2
a,2
subtle undercurrents,2
on,2
"The Movie could have been made 40 years ago , and",1
the,2
hang,2
Blanchett,2
of the unspeakable,1
gal-pal smart talk,2
.,2
to pay for his next project,2
a,2
in,2
as Borchardt 's Coven,2
Close,2
subtle,3
emphasizes the spare precision of the narratives and helps to give them an atavistic power,2
not even Ms. Redgrave 's noblest efforts can redeem it from hopeless sentimentality .,1
off,1
's,2
a ghost story,2
still,2
demonstrates,2
",",2
Evil,2
stands,2
mind-numbingly bad,0
A.I.,2
got a headache watching this meaningless downer .,0
are all,2
good,3
a good charitable enterprise and some interesting real people,3
of,2
quirky,2
a train wreck of an action film,0
this chamber drama,2
and wolfish pessimism,2
of American culture,2
out,1
of the imagination to germinate,3
in Possession,1
triumphs,3
the,2
thoughts and,2
;,2
of an extraordinary piece of music,4
some appealing ingredients,3
energetic and satisfying,3
jokes,2
opera,2
"ripe for a warmed-over James Bond adventure , with a village idiot as the 007 clone",1
"It 's not without its pleasures ,",2
.,2
It 's dumb,1
you,2
"not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head",3
",",2
The,2
will not,2
"Makes for some truly odd , at times confusing , kids entertainment ... but at least this time there 's some centered storytelling to go along with all the weird stuff .",2
",",2
grief,2
that,2
's a lovely film with lovely performances by Buy and Accorsi,4
so mediocre,1
know,2
Do n't be fooled by the impressive cast list - Eye See You is pure junk .,0
A strangely compelling and brilliantly,3
among,2
wild,2
likely,2
to formula romantic comedy,2
an unremarkable soft center,2
fate,2
", if nothing else , will appeal to fans of Malcolm in the Middle and its pubescent star , Frankie Muniz",2
cover,2
you,2
in terms,2
sexy,4
I thought my own watch had stopped keeping time as I slogged my way through Clockstoppers .,1
"Despite the 2-D animation , The Wild Thornberrys Movie makes for a surprisingly cinematic experience .",3
it,2
a minute-by-minute account of the British court 's extradition chess game and the regime 's talking-head survivors,2
and,2
Elling,2
together they are magnificent,4
understated and,2
"this kind of thing ,",2
This,2
is,2
This time,2
you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .,2
child,2
", but not necessarily with us",1
WWF,2
the,2
truly odd,2
pathos,2
Fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .,3
It,2
that,2
watch,2
A hamfisted romantic comedy that makes our girl the hapless facilitator of an extended cheap,2
bizzarre,2
.,2
alone are not enough to salvage this lifeless boxing film .,0
of the film 's mood,2
to,2
the,2
good job,4
going from one room,2
",",2
This is nothing but familiar territory .,2
the spare precision of the narratives,3
Trek VI,2
keep,2
sung those blues,2
.,2
your,2
to be hip,2
pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters,3
the,2
around the globe,2
a performance of striking skill and depth,4
the heart,2
amused,3
"An overemphatic , would-be wacky , ultimately tedious sex farce .",1
.,2
to hit theaters since Field of Dreams,3
immerse you,3
emotional,2
devotion and double-cross,2
patience to get to the good stuff,2
casting,2
keep,2
is,2
"need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license Avary employs .",1
last,2
one form,2
of,2
a stage play,2
is,2
by-the-numbers effort,2
by-the-numbers patient\/doctor pic,2
and,2
",",2
"the car , bitch ,",0
but,2
Star,3
and,2
"Offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm .",1
Irish,2
entirely too much,1
Ya,2
and,2
",",2
the built-in silliness of the whole affair,1
you grasp and feel the passion others have for their work,3
back,2
of,2
"emotions , and the fact",2
a way that intrigues and even fascinates us,3
following the demands of tradition,2
have,2
"Exciting and direct , with ghost imagery that shows just enough to keep us on our toes",3
that,2
and,2
that,2
film,2
futuristic thriller-noir,3
haphazard,2
the sleep-deprived Dormer,2
's,2
worth,2
hapless,1
with,2
family,3
charisma and,3
Its well,2
doing silly stuff,1
my,2
",",2
made,2
Cedric the Entertainer,2
each other,2
just,2
life,3
both his medium and his message,2
have at last,2
that,2
played,2
by its own gargantuan aura of self-importance,1
make one pine for the day when Godard can no longer handle the rigors of filmmaking,1
routine,2
got a headache,1
's,2
transcends our preconceived vision of the Holy Land and its inhabitants,3
events,2
keeping time,2
the,2
The movie,2
",",2
artists and,2
your,2
"posing , rather than acting",1
make us examine our values,3
film,2
shake,2
a symptom of artistic malnutrition,1
a twisty double-cross,3
and,2
a,2
French,2
tears,1
"There is nothing outstanding about this film , but",1
"It will not appeal to the impatient , but",2
lapses,2
stomp,2
a champion,3
face,2
of which,2
read,2
.,2
confirms Fincher 's status,2
your,2
out,1
when you blow up small potatoes to 10 times their natural size,2
knowing,2
disappointment,0
moviegoers,2
not as,2
admire the way it accumulates power and depth,3
read,2
naturalistic,3
a pretty unpleasant viewing experience,0
of,2
almost,2
.,2
in,2
a,2
absorbing,3
potion,2
is all too familiar .,1
is,2
.,2
of courage -- and complicity -- at Auschwitz,2
reminded,2
"An overemphatic , would-be wacky",1
through,2
satisfying,4
be,2
coarseness and,2
with characters,2
bad,0
left standing,2
gritty and well-acted,3
stars,2
's not,2
executive produces,2
rises,2
costs,2
boring,0
heat,2
had stopped keeping time as I slogged my way through Clockstoppers,2
first Men,2
the,2
's a cheat,2
some of its predecessors,2
if,2
All,2
hyperbolic beat-charged urban western,3
told,2
can,2
a lack of humor,1
thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot,1
eagles,2
contrary,2
"sucks the humanity from the film ,",1
the,2
a,2
coming to a head,2
",",2
lots,2
mothball-y stuff,1
the Holy Land and its inhabitants,2
the gears,2
not,1
is,2
fine performances,4
",",2
T,2
the sedentary doldrums,1
`,2
for,2
-- while undeniably interesting --,2
the stars,2
"Every time you look , Sweet Home Alabama is taking another bummer of a wrong turn .",1
himself,2
Entertains,3
in his Hong Kong films,2
is,2
"the ways in which need , history and presumption tangle",2
than,2
is,2
the mood for a Bollywood film,3
of,2
at,2
"tremendous energy from the cast ,",3
this gut-buster,3
more often,2
taken,1
simply,2
Why make a documentary about these marginal historical figures ?,0
sensitive reactions,2
the,2
watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes,0
nagging,1
"they bring a fresh , quirky charm to the formula",4
", bizarre",2
' show,2
though,2
.,2
"It 's hard to like a film about a guy who is utterly unlikeable ,",1
film,2
precious,3
to be considered as a possible successor to the best European directors,3
the,2
Like the Chelsea 's denizens,2
the window,2
George Orwell,2
since,2
At least one scene is so disgusting that viewers may be hard pressed to retain their lunch .,1
will,2
memory,2
savvy about celebrity,3
the sum of its parts,2
the same movie,2
complexity,3
truthful,2
?,2
by the powerful work of his co-stars,3
with even a passing interest in the events shaping the world beyond their own horizons,2
the,2
of,2
is probably,2
good,3
man,2
gritty,3
", engaging film .",3
directs,2
major,2
when its script is not,2
with,2
terrific,4
few,2
"somewhat well-acted , not badly art-directed and utterly unengaging",2
", Noyce has tailored an epic tale into a lean , economical movie .",3
touching to the marrow,3
.,2
bold colors,3
likely audience,2
two completely different,2
is one big chase that seems to have no goal and no urgency,0
n't,2
"can do with a florid , overplotted , Anne Rice rock 'n' roll vampire novel before the built-in silliness of the whole affair defeats them",1
else,2
"Martin and Barbara are complex characters -- sometimes tender , sometimes angry",3
characters,2
",",2
pleasant,4
the era 's creme de la celluloid,2
rare in Hollywood 's hastier productions,3
Hit and miss as far as the comedy goes and,1
fascination,3
Preaches,2
off,1
"Robert Forster , Anne Meara , Eugene Levy ,",2
the measured pace and lack,2
Bicycle Thief,2
Jane Goodall 's,2
some of the major issues,1
spoof,2
Reid,2
Good,3
of,2
in for good measure,2
get to the heart of the movie,2
for,2
made 40 years ago,1
"tears , rage and opium overdoses",2
the,2
in,2
's pure PR hype .,1
through its tidal wave of imagery,3
's no denying the fun of watching De Niro and Crystal having fun .,3
",",2
spiritual desolation,2
"The last 20 minutes are somewhat redeeming , but most of the movie is the same teenage American road-trip drek we 've seen before",1
transgressive,2
wannabe,1
are more than compensated for by its wryly subversive tone,3
it 's not that big a deal,1
mask,2
worst,0
natural,2
connect is about as exciting as gazing at an egg timer for 93 minutes,0
day,2
"Daphne , you 're too Buff \/ Fred thinks he 's tough \/",2
pleasure,4
is a harrowing drama that tries to tell of the unspeakable,3
can stomach the rough content,2
"'s refreshing to see a cartoon that knows what it is , and knows the form 's history .",2
Inside,3
than,2
fiercely atheistic,3
to uncover it,2
been,2
"The director knows how to apply textural gloss ,",3
filth,2
the,2
of,2
"An occasionally funny , but overall limp , fish-out-of-water",1
all,2
"we 've been here , done that",1
on those rare occasions when the narrator stops yammering,1
executed with anything,2
self - and audience-abuse,1
and,2
reactions,3
Jean-Luc Godard 's,2
amuse small children and ostensible adults,2
it,2
"On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",4
Scorsese,2
worthy,4
's Axis of Evil,2
encourages,2
fail,1
emotionally,2
no,1
too,2
the magic,2
The film 's welcome breeziness,2
\/ You both look and sound great .,3
that,2
hoping,2
warmly extend your arms,3
the,2
.,2
The piece,2
rap,2
"its fully-written characters , its determined stylishness",4
in the face of official repression,2
intelligent,3
",",2
contemporary characters,2
told,2
"offers a solid build-up , a terrific climax , and some nice chills along the way",3
are thrilling .,3
Nine Queens,3
on a bumpy but satisfying journey of the heart,3
The film,2
is quite the opposite,2
From the opening scenes,2
a,2
affecting,2
",",2
frighteningly capable debut,3
adaptation,2
a certain kind,2
gory,2
a,2
hidden as,2
a good,4
movie,2
The,2
is more,2
is,2
So refreshingly incisive is Grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the Hugh factor .,3
rap,2
Yakusho and Shimizu,2
twists,2
Friday-night excitement,3
"skillfully through the plot 's hot brine -- until it 's undone by the sogginess of its contemporary characters , and actors",1
hate,0
could not,2
off almost,2
"as if you 're watching a movie that was made in 1978 but not released then because it was so weak , and it has been unearthed and released now , when it has become even weaker",1
Jerry Bruckheimer production,2
shoot,1
so dumb and,1
moviemaking,2
a solid performance by Arliss Howard,3
The movie 's relatively simple plot,2
the,2
I 'll stick with The Tune,2
of intelligible story,2
Dilbert without the right-on satiric humor .,2
is much like the ethos of a stream of consciousness,2
movie,2
structure,2
a rosily myopic view,3
and,2
Hilariously inept and ridiculous,0
a,2
The,2
following,2
few,2
.,2
time,2
milk it with despondent eyes and,2
's,2
Weight,2
are all astounding,3
a different film,2
mood-altering drug therapy,2
and character development,3
be,2
a visual style,2
when,2
a troubling interpretation of Ecclesiastes,1
director Hideo Nakata,2
as visually dexterous as it is at times imaginatively overwhelming .,3
swaggering,3
moments,2
The movie 's relatively simple plot and,2
dramatic tension or,2
'70s European-set spy pictures,2
Python,3
know,2
`,2
the,2
.,2
dark,2
the,2
doctrine,2
this film is most transporting when it stays put in the past,2
and,2
him,2
the characters and,2
polished,4
it,2
Hollywood,2
the skids,2
"still manages to be kind of heartwarming , nonetheless .",3
if you 're not nearly moved to tears by a couple of scenes,3
taking on adolescent qualities,2
leftover Enron stock,2
Body,2
"a good , if not entirely fresh , look at war .",3
Jane Hamilton 's exemplary costumes,4
the,2
"snowballs out of control , while focusing on the what much more than the why",1
sort,2
.,2
as the video games,2
not,1
"love , betrayal , revenge and above all ,",2
little,2
Fred,2
being,2
"Displaying about equal amounts of naiveté , passion and talent",3
"into the mind of Jeffrey Dahmer , serial killer",1
party pop numbers,2
plot,2
games,2
special effects,2
humor,4
on TV,2
"With tightly organized efficiency , numerous flashbacks and a constant edge of tension",3
from,2
a mysterious creature,2
speak,2
"from period detail to matters of the heart , this film is most transporting when it stays put in the past",2
a,2
enjoy more thoughtful comedies with interesting conflicted characters,3
and,2
far,2
gets off,2
silliness,1
"the movie 's soundtrack , a joyful effusion of disco Bollywood that , by the end of Monsoon Wedding , sent my spirit soaring out of the theater",4
A sometimes tedious film,1
"coming from the amazingly lifelike Tara Reid , whose acting skills are comparable to a cardboard cutout",1
"This is not the undisputed worst boxing movie ever , but",1
"adroitly , and without fuss ; it does n't give you time",2
A full world has been presented onscreen,2
fascinates,3
"Wince-inducing dialogue , thrift-shop costumes ,",1
writer-director,2
up the case,2
not even,2
to,2
to,2
LaBute,2
The script kicks in,2
vitality,2
for,2
unique relationship,3
the ways,2
wo,2
",",2
horror movie,2
threatening and unforgettable,3
thorn and,2
big part,2
"Harrison 's Flowers puts its heart in the right place , but",3
broad stereotypes and outrageously unbelievable scenarios,0
tapped something in himself as an actor that provides Frailty with its dark soul,3
its questionable in-the-ring match-up,1
the,2
", he does n't hold them in contempt .",2
waiting for the ending credits and the deleted scenes montage to break the audience 's awkward silence,1
sexuality,2
heavy-handed and,1
Confirms the nagging suspicion that Ethan Hawke would be even worse behind the camera than he is in front of it,0
an utterly charming French comedy that feels so American in sensibility and style,3
pose,2
I,2
touch,3
An,2
player,2
be,2
just kind of sits there,1
by Mike Rich,2
For the most part,2
is,2
rather stunning,3
",",2
goal to win the championship,2
but,2
's,2
actors,2
remarkable,4
of,2
sexual politics,2
humor,4
when,2
's,2
with,2
A painfully funny ode to bad behavior .,3
Despite the 2-D animation,1
specificity,2
", family and affection",1
choreography,2
not,1
a loosely autobiographical story brushed with sentimentality but brimming with gentle humor,4
the nuances,2
of the humanizing of one woman,2
", but",2
Slick piece of cross-promotion,3
otherwise compelling director,2
few,2
absurdly,2
whose compelling characters and intelligent script are exactly what was missing from Rabbit-Proof Fence,4
bliss-less,1
of political correctness,3
"a fabric of complex ideas here , and feelings that profoundly deepen them",3
director,2
indicated,2
at,2
For,2
Eddie,2
what,2
look at war .,2
she,2
upper-crust,2
or,2
well,3
bizarre,1
naked,2
their,2
same strengths and flaws,2
need,2
the,2
as the 007 clone,2
writer-director Anne Fontaine 's film,2
the,2
to canines,2
cheap effects,1
Regis Philbin,2
the passion,2
a,2
low-budget TV pilot,1
play,2
: Nemesis meekly goes where nearly every Star Trek movie has gone before .,0
wondered what an ending without the input of studio executives or test audiences would look like,1
"This is the sort of burly action flick where one coincidence pummels another , narrative necessity is a drunken roundhouse , and whatever passes for logic is a factor of the last plot device left standing",1
.,2
's,2
thrilling,4
some,2
``,2
fart,1
without the right-on satiric humor,1
"into an after-school special compiled in one place , minus those daytime programs ' slickness and sophistication -LRB- and who knew they even had any ? -RRB-",1
family and,2
",",2
stiffness,1
"to be no clear path as to where the story 's going , or how long it 's going to take to get there",1
relate to Stuart,2
laying out some of the major issues that we encounter as we journey through life,3
I still ca n't relate to Stuart,1
not,1
is it,2
that dumb,2
the heels of The Ring,2
do n't,2
so unforgivably trite in its last 10 minutes,1
Nine,2
a,2
The,2
of,2
movie,2
It,2
and,2
ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie,3
some truly heinous crime,2
unnerving way,1
form,2
is the one with the most emotional resonance,3
be said to suck,1
the,2
The end result is a film that 's neither .,1
will,2
"when joined by Brosnan , the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing , ` tis",3
"as in Ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .",3
to,2
talent,3
"A beguiling , slow-moving parable about the collision of past and present",1
"Tomcats , Freddy Got Fingered ,",2
the,2
"A full world has been presented onscreen ,",3
play equally well on both the standard and giant screens,3
this films lacks the passion required to sell the material .,1
of,2
imaginative,4
for,2
The format gets used best,3
specialty,2
"this ,",2
"be somewhat well-acted , not badly art-directed and utterly unengaging no matter how hard it tries to be thrilling , touching or , yikes , uproarious",1
the story,2
"no currency in deriding James Bond for being a clichéd , doddering , misogynistic boy 's club",1
of it,2
Broomfield turns his distinctive ` blundering ' style into something that could really help clear up the case .,3
"for fans who ca n't stop loving anime , and the fanatical excess built into it",3
Jackie,2
the inanity -- and the Cold War datedness --,1
the,2
's virtually its own Hollywood remake,3
's enough melodrama in this Magnolia Primavera to make PTA proud yet director Muccino 's characters are less worthy of Puccini than they are of daytime television,2
',2
it,2
film,2
for,2
father and,2
its,2
of some truly heinous crime,1
make,2
part of the scenery,2
An,2
Puccini,2
a,2
fewer,2
sense,2
look,2
seems pedestrian,1
's,2
trails off into inconsequentiality,1
nicely,3
movie,2
hard to be hip,2
of an action film,1
has become even weaker,1
confirms Fincher 's status as a film maker who artfully bends technical know-how to the service of psychological insight,4
American,2
all the more,2
missing here,1
underarm noises,1
's,2
to bubble up from the vast collective memory of the combatants,2
's,2
that encompasses a potent metaphor for a country still dealing with its fascist past,2
The title not only describes its main characters,2
a,2
kind,3
a film,2
in the east,2
screen,2
"sweet , harmless , dumb , occasionally funny",2
are not executed with anything more than perfunctory skill,0
never,2
two centuries ago,2
"It 's dumb ,",0
Blossom,2
",",2
moving,3
lead a man across centuries,2
The piece plays as well as it does thanks in large measure to Anspaugh 's three lead actresses .,3
told and retold,1
it accumulates power and depth,3
the true creativity would have been to hide Treasure Planet entirely and completely reimagine it .,1
wolfish,2
revealing,2
fest,2
like this when you can rent a pedigree instead,2
it,2
do n't treat me like a fool,2
at,2
our grains of salt,2
in,2
--,2
